cuisine_type,google_rating,total_restaurants
"Modern British, Contemporary",4.6,1
Castilian,4.6,1
"Country cooking, Cuisine from the Marches",4.6,2
"Japanese, Okonomiyaki",4.6,1
"North African, Mediterranean Cuisine",4.6,1
"Jiangzhe, Cantonese",4.6,1
"Modern Cuisine, Catalan",4.6,2
"Galician, Contemporary",4.6,1
"Contemporary, Italian-American",4.6,2
"Middle Eastern, Californian",4.6,1
"Traditional Cuisine, Portuguese",4.6,1
"Modern French, Cuisine from the Marches",4.6,1
"Belgian, French",4.6,1
"Modern French, Vegetarian",4.6,1
Asturian,4.6,1
"Danish, Country cooking",4.6,1
"Traditional Cuisine, Italian",4.6,2
"Home Cooking, Creative French",4.6,1
"Noodles, Asian",4.6,1
"Cuisine from the Aosta Valley, Contemporary",4.6,1
"Classic Cuisine, Creative French",4.6,1
"Cuisine from Basilicata, Modern Cuisine",4.6,1
"Pizza, Contemporary",4.6,1
"Japanese Contemporary, Creative",4.6,1
"Meats and Grills, Contemporary",4.6,1
"Portuguese, Contemporary",4.6,1
"Friulian, Traditional Cuisine",4.6,2
"Catalan, Grills",4.6,1
"Italian-American, American",4.6,1
"Innovative, Korean",4.6,1
"Italian, Organic",4.6,1
"Provençal, Classic Cuisine",4.6,1
"Mediterranean Cuisine, Californian",4.6,1
"Modern Cuisine, South Tyrolean",4.6,1
"American, Deli",4.6,1
"Cuisine from Lazio, Seasonal Cuisine",4.6,1
"Asian, Chicken Specialities",4.6,1
"Mediterranean Cuisine, Croatian",4.6,1
"Barbecue, Deli",4.6,1
"Croatian, Contemporary",4.6,1
"Italian, Creative",4.6,8
"Calabrian, Classic Cuisine",4.6,1
"Asian Influences, Creative",4.6,2
"Cuisine from Abruzzo, Modern Cuisine",4.6,2
"World Cuisine, International",4.6,1
"Cuban, Spanish",4.6,1
"Galician, Traditional Cuisine",4.6,1
"French, Steakhouse",4.6,1
"Modern Cuisine, Gastropub",4.6,1
"Fusion, Farm to table",4.6,1
"Californian, Seasonal Cuisine",4.6,1
"Modern Cuisine, Indonesian",4.6,1
Puerto Rican,4.6,1
Beef,4.6,6
"Modern Cuisine, Andalusian",4.6,1
Sukiyaki,4.6,2
"Lebanese, Contemporary",4.6,1
"Japanese Contemporary, Seasonal Cuisine",4.6,1
"International, Swiss",4.6,1
"Creative, Campanian",4.6,1
"Country cooking, French Contemporary",4.6,2
"International, French Contemporary",4.6,2
"Greek, Californian",4.6,1
"South Tyrolean, Seasonal Cuisine",4.6,1
"Seafood, Shellfish Specialities",4.6,1
"Seafood, Fish and Chips",4.6,1
"Italian, Brazilian",4.6,1
"Mexican, Vegan",4.6,1
"Venezuelan, Latin American",4.6,1
"Meats and Grills, Seasonal Cuisine",4.6,1
"Seafood, Galician",4.6,3
"Filipino, Cuban",4.6,1
Finnish,4.6,1
"Cuisine from Romagna, Regional Cuisine",4.6,1
"European Contemporary, Grills",4.6,1
"Italian Contemporary, Cuisine from the Aosta Valley",4.6,1
"Creative, Emilian",4.6,1
"Meats and Grills, Traditional British",4.6,1
"Seasonal Cuisine, French Contemporary",4.6,1
"Creative French, Classic Cuisine",4.6,2
"Creative, Brazilian",4.6,1
"Grills, Farm to table",4.6,1
"Ligurian, Seasonal Cuisine",4.6,1
"Seafood, Campanian",4.6,1
"Cuisine from the Marches, Modern Cuisine",4.6,1
"Californian, Pizza",4.6,1
"Cuisine from the Marches, Meats and Grills",4.6,1
"Korean, Korean Contemporary",4.6,4
Cuisine from Valtellina,4.6,2
"Classic Cuisine, Tuscan",4.6,1
"Croatian, Italian",4.6,1
"Modern Cuisine, Creative French",4.6,5
"Balkan, Meats and Grills",4.6,1
"Lyonnaise, Traditional Cuisine",4.6,1
"Smørrebrød, Danish",4.6,1
"Contemporary, Korean",4.6,2
"Traditional Cuisine, Meats and Grills",4.6,5
"Organic, Modern French",4.6,1
"Thai, Traditional Cuisine",4.6,1
"Classic Cuisine, Classic French",4.6,1
"Latin American, American Contemporary",4.6,1
"Cuisine from Valtellina, Traditional Cuisine",4.6,1
"Italian, Gastropub",4.6,1
"Regional European, Country cooking",4.6,2
"Innovative, Contemporary",4.6,1
"Fusion, Italian Contemporary",4.6,1
"Chinese, Fusion",4.6,1
"Italian, Czech",4.6,1
"Country cooking, Organic",4.6,1
"Contemporary, Alsatian",4.6,1
"Steakhouse, Meats and Grills",4.6,1
"Brazilian, Contemporary",4.6,2
"Seasonal Cuisine, Alpine",4.6,2
"Farm to table, Bavarian",4.6,1
"Calabrian, Contemporary",4.6,1
"Seafood, Creative",4.6,2
Smørrebrød,4.6,3
"Contemporary, Latin American",4.6,1
"Pork, Regional Cuisine",4.6,1
"Gastropub, American Contemporary",4.6,1
"Modern British, Modern Cuisine",4.6,1
"Lombardian, Italian",4.6,2
"Sri Lankan, Indian",4.6,1
"Campanian, Creative",4.6,1
"Piedmontese, Regional Cuisine",4.6,1
"Fusion, Asian and Western",4.6,1
"Japanese, Asian Contemporary",4.6,2
"Mediterranean Cuisine, Ligurian",4.6,1
"Middle Eastern, Grills",4.6,1
